"MS1.MS2" "AT" "BE" "BG" "CH" "CY" "CZ" "DE" "DK" "EE" "EL" "ES" "FI" "FR" "HR" "HU" "IE" "IS" "IT" "LI" "LT" "LU" "LV" "ME" "MK" "MT" "NL" "NO" "PL" "PT" "RO" "SE" "SI" "SK" "TR" "UK"
"BE-NL" 0 71058.3685623575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87457.9753656635 0 0 0 0 0 0 0 0 0
"BE-NO" 0 72991.6110295141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 185229.599172997 393257.781588333 0 0 0 0 0 0 0 0
"BE-PL" 0 91043.6096115574 0 0 0 0 620930.871957355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11842.3551346517 0 323584.493675034 0 0 0 0 0 0 0
"BE-PT" 0 78424.3583673102 0 0 0 0 0 0 0 0 220861.290122432 0 583119.094373711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 199262.377941686 0 0 0 0 0 0
"BE-RO" 152653.246176495 128741.552775593 0 0 0 179903.87955502 473888.061151087 0 0 0 0 0 0 0 245000.540659964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 267785.620827581 0 0 150176.212502266 0 0
"BE-SE" 0 82967.319445311 0 0 0 0 45881.5716857049 335569.643064158 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 243854.327112234 0 0 0 0 146.421915899684 0 0 0 0
"BE-SI" 218118.5844726 141843.944822439 0 0 0 0 509157.897901666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57201.4630327459 0 0 0
"BE-SK" 0 119117.594702325 0 0 0 415208.37166449 459364.488540485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 109671.083422348 0 0
"BE-TR" 224124.932515677 141962.13037621 170967.836328821 0 0 0 576467.367608497 0 0 0 0 0 0 0 359942.293359314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 491731.653922209 0 0 0 316088.669425672 0
"BE-UK" 0 108553.175487573 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3896.36564044872
